gcc_code16,date,precip,tmax,tmin,vapourpres_h09,vapourpres_h15
5GPER,1990-01-01,0.206873525701685,25.7955661300453,14.3406036543554,16.3474862794189,15.2102370072803
5GPER,1990-01-02,0.00648005514232123,24.8198470864414,15.9891764872162,15.9519631974373,11.9128439635517
5GPER,1990-01-03,0.0142247507084465,27.1285753032776,15.8329138985259,13.4247062644014,14.7023142795059
5GPER,1990-01-04,0,31.8981661829803,16.2769864137698,14.7913610084898,16.6898554508566
5GPER,1990-01-05,0,26.1844858769955,17.5901340767022,16.3093950791929,16.1066689620592
5GPER,1990-01-06,0,28.3372458493653,14.9030175727037,13.2365247725243,14.4768911647248
5GPER,1990-01-07,9.24699491909971e-05,31.1718539810991,16.5905347476513,12.6671934128298,15.4613313709455
5GPER,1990-01-08,1.15024076006733e-05,36.5239609554308,17.7884346573318,15.5396407966391,16.02013325867
5GPER,1990-01-09,0.658073412989638,23.7990103098546,17.9655939607991,21.0474415520371,14.291867247782
5GPER,1990-01-10,3.67664291761582,21.828846103125,11.2424699478047,10.693961663717,10.2601709109648
5GPER,1990-01-11,0.126425637435925,24.7187303018774,10.2714752418279,10.8945959613565,12.4006098806408
5GPER,1990-01-12,0,33.4492691192244,15.6518693008347,13.7289588376429,16.5083369293171
5GPER,1990-01-13,0,35.1516960420465,18.9446235998164,16.9098145706313,20.2266686947575
5GPER,1990-01-14,0.000551504531688524,37.1607204865883,23.2995067309082,21.1871527247157,21.5643821025146
5GPER,1990-01-15,0.00819145698246179,25.6092677204228,20.5953605184878,22.9868469725474,18.9261204288351
5GPER,1990-01-16,0.00221964193888494,25.6121615607997,15.4521313073267,13.9218063863524,14.6590865480352
5GPER,1990-01-17,0,27.5778206519802,13.8446687477275,12.1471687994672,13.6680458534216
5GPER,1990-01-18,0,29.8585792694405,15.6109732827192,12.6546114046078,14.9076625414445
5GPER,1990-01-19,0,30.7236884937025,15.6690035692238,14.5526466847818,17.2082363289095
5GPER,1990-01-20,1.20210921944792,29.355544519143,20.2687027066644,19.0133046852047,24.1842101949763
5GPER,1990-01-21,1.99890460273105,30.8763769473669,20.5031873586322,24.2096491566025,22.7635057251877
5GPER,1990-01-22,0.854908437442836,27.2776560986311,21.2340800689722,24.3888924539515,23.8011571488629
5GPER,1990-01-23,0.721462257914514,24.6444804427261,17.5003153607701,15.0454279982539,10.9606008408272
5GPER,1990-01-24,0.0225199981863563,28.9985476183464,14.2552444010064,11.022726436945,10.4578892208483
5GPER,1990-01-25,0,31.6242257047397,15.7203161599361,14.1689272489091,15.2492153207891
5GPER,1990-01-26,0.00852060123654642,27.6282803783616,15.8087031411089,14.870685395187,16.4163336139011
5GPER,1990-01-27,0.234792648624763,28.9815451173025,15.2682023679064,12.6571498160894,13.1694415027823
5GPER,1990-01-28,5.79842407221019,22.6152191921141,15.5245582554164,17.1711204845078,20.4798742284508
5GPER,1990-01-29,38.0844443423512,24.941461112229,15.2327682346848,19.0351920690011,19.2080698598956
5GPER,1990-01-30,0.193603451158285,23.9624001071425,11.7630857908977,10.5594174055667,9.61734930389976
5GPER,1990-01-31,0.000449794672851248,26.1207389125847,11.7100651031784,9.99141787797745,10.593610493428
5GPER,1990-02-01,0,29.1417326095275,14.6711427778513,11.7239774558193,12.0078337768055
5GPER,1990-02-02,0.00760855548129862,30.6323488536164,16.0037255542366,13.1425956098438,12.395623349232
5GPER,1990-02-03,0,30.7357395152257,16.6474252009658,14.7029613105421,11.6902010416462
5GPER,1990-02-04,0,31.2050686951407,16.8080314282303,13.9293995957129,12.4557142906381
5GPER,1990-02-05,0,34.2346006388065,18.7434497999009,11.7928792835589,11.1575481504346
5GPER,1990-02-06,0,34.2003812634719,21.2937793398566,11.6399765719888,11.2214627232354
5GPER,1990-02-07,5.31229907343065e-06,36.0888016798274,22.2512681190213,14.0440316664501,11.8322486082925
5GPER,1990-02-08,0.00153213290299601,37.1381950843001,23.9114575976373,15.6649108497635,15.7916721114779
5GPER,1990-02-09,0.106690576894322,29.6976413006273,22.552516169239,20.8019520566942,19.6760883134846
5GPER,1990-02-10,0.0836509801181822,31.7571567950318,20.9782249405405,17.6911249405128,17.9597823476767
5GPER,1990-02-11,1.59329034816684,29.4026652810757,18.8858462909894,18.0854828664925,18.7347999081135
5GPER,1990-02-12,1.26755258439071,27.1084762719461,20.8658033670416,22.5406764522001,19.4054223571426
5GPER,1990-02-13,7.49877898919534,25.1554993061602,18.2025650712221,15.8323644004999,15.278577418452
5GPER,1990-02-14,0.730282258671934,23.8169311047707,17.4480104648006,17.3608109869723,17.5231588732045
5GPER,1990-02-15,8.06566412768859,20.5558484308494,11.2913405028184,12.1913046799219,11.7386302340062
5GPER,1990-02-16,1.58133801347509,22.3816299348724,9.8553228914435,11.2050371029851,12.9990189188394
5GPER,1990-02-17,0.0212757095988874,24.6239545592109,13.0891822773127,16.5061109830019,15.6324575711004
5GPER,1990-02-18,3.76184688612923e-05,28.5266903238906,14.3522563040582,16.0831617131819,17.6074835518024
5GPER,1990-02-19,0.107932514999014,28.1233912617114,15.8667407216619,17.2672633095347,18.4820147934786
5GPER,1990-02-20,0.000111363812797196,29.5998094743452,16.5463464962576,18.5348468024469,20.5382641200666
5GPER,1990-02-21,0,30.7479658592297,18.7542482438492,19.2851681343139,20.7860524655387
5GPER,1990-02-22,0,30.0002901561539,17.7071395113893,15.1574537708469,19.1183949476972
5GPER,1990-02-23,0.0289941566209931,34.1824816651702,20.1213089140982,17.8227457575389,18.9661943751011
